,OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Price,Unit Cost,totalcost,totalSales,Profit
0,SO - 000101,In-Store,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-14,2018-06-19,USD,6,15,259,12,5,0.075,1963.1,1001.181,5005.905000000001,9079.3375,4073.432499999999
1,SO - 000102,Online,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-22,2018-02-07,USD,14,20,196,27,3,0.075,3939.6,3348.66,10045.98,10932.39,886.4099999999999
2,SO - 000103,Distributor,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-21,2018-01-07,USD,21,16,213,16,1,0.05,1775.5,781.22,781.22,1686.725,905.5049999999999
3,SO - 000104,Wholesale,WARE-NMK1003,2017-12-31,2018-05-31,2018-02-06,2018-07-06,USD,28,48,107,23,8,0.075,2324.9,1464.687,11717.496,17204.260000000002,5486.764000000003
4,SO - 000105,Distributor,WARE-NMK1003,2018-10-04,2018-05-31,2018-06-16,2018-06-26,USD,22,49,111,26,8,0.1,1822.4,1476.144,11809.152,13121.28,1312.1280000000006
5,SO - 000106,Online,WARE-PUJ1005,2017-12-31,2018-05-31,2018-08-06,2018-06-13,USD,12,21,285,1,5,0.05,1038.5,446.555,2232.775,4932.875,2700.1
6,SO - 000107,In-Store,WARE-XYS1001,2017-12-31,2018-05-31,2018-08-06,2018-06-14,USD,10,14,6,5,4,0.15,1192.6,536.67,2146.68,4054.8399999999997,1908.1599999999999
7,SO - 000108,In-Store,WARE-PUJ1005,2018-10-04,2018-05-31,2018-06-26,2018-01-07,USD,6,9,280,46,5,0.05,1815.7,1525.188,7625.9400000000005,8624.575,998.6350000000002
8,SO - 000109,In-Store,WARE-PUJ1005,2017-12-31,2018-01-06,2018-06-16,2018-06-21,USD,4,9,299,47,4,0.3,3879.3,2211.201,8844.804,10862.039999999999,2017.235999999999
9,SO - 000110,In-Store,WARE-UHY1004,2017-12-31,2018-01-06,2018-06-29,2018-01-07,USD,10,33,261,13,8,0.05,1956.4,1212.968,9703.744,14868.64,5164.895999999999
10,SO - 000111,Distributor,WARE-XYS1001,2017-12-31,2018-01-06,2018-06-15,2018-06-20,USD,23,21,17,38,6,0.1,201.0,124.62,747.72,1085.4,337.68000000000006
11,SO - 000112,In-Store,WARE-NMK1003,2018-10-04,2018-01-06,2018-07-06,2018-06-17,USD,10,21,152,40,5,0.15,6277.9,2762.276,13811.38,26681.074999999997,12869.694999999998
12,SO - 000113,In-Store,WARE-PUJ1005,2018-10-04,2018-01-06,2018-06-22,2018-02-07,USD,4,36,317,39,5,0.05,1051.9,641.659,3208.295,4996.525000000001,1788.2300000000005
13,SO - 000114,In-Store,WARE-PUJ1005,2018-10-04,2018-01-06,2018-07-06,2018-06-15,USD,8,17,291,32,6,0.15,254.6,216.41,1298.46,1298.46,0.0
14,SO - 000115,In-Store,WARE-NMK1003,2017-12-31,2018-01-06,2018-06-15,2018-06-20,USD,9,32,138,6,6,0.15,3932.9,3146.32,18877.920000000002,20057.79,1179.869999999999
15,SO - 000116,In-Store,WARE-MKL1006,2017-12-31,2018-01-06,2018-06-24,2018-02-07,USD,5,11,354,25,3,0.05,1112.2,700.686,2102.058,3169.7699999999995,1067.7119999999995
16,SO - 000117,In-Store,WARE-PUJ1005,2018-10-04,2018-01-06,2018-06-19,2018-06-27,USD,9,10,320,6,3,0.075,1239.5,904.835,2714.505,3439.6125,725.1075000000001
17,SO - 000118,In-Store,WARE-XYS1001,2018-10-04,2018-01-06,2018-06-06,2018-06-14,USD,8,30,21,3,4,0.1,984.9,393.96,1575.84,3545.64,1969.8
18,SO - 000119,In-Store,WARE-MKL1006,2018-10-04,2018-01-06,2018-07-06,2018-06-15,USD,5,5,349,20,4,0.1,5581.1,4130.014,16520.056,20091.960000000003,3571.9040000000023
19,SO - 000120,Online,WARE-NMK1003,2017-12-31,2018-01-06,2018-11-06,2018-06-17,USD,14,23,134,24,4,0.05,3095.4,1795.332,7181.328,11762.52,4581.192
20,SO - 000121,Wholesale,WARE-NMK1003,2018-10-04,2018-01-06,2018-06-18,2018-06-20,USD,25,46,193,33,4,0.4,2278.0,1754.06,7016.24,5467.2,-1549.04
21,SO - 000122,In-Store,WARE-PUJ1005,2018-10-04,2018-02-06,2018-10-06,2018-06-16,USD,2,14,282,1,7,0.075,991.6,654.456,4581.192,6420.610000000001,1839.4180000000006
22,SO - 000123,In-Store,WARE-XYS1001,2018-10-04,2018-02-06,2018-06-26,2018-06-28,USD,7,40,20,35,2,0.2,3979.8,3064.446,6128.892,6367.68,238.78800000000047
